Local Authority,Housing Category,Rental Object.,Acquisition Date,Postcode - 1st part,Postcode - 2nd part,Property Type,No. of Bedrooms,RE Contract,Contract Type,Contract Start Date,Prev Cont End Date,Previous Reason for Termination,Company (AO),Tenancy Allocation Source,Max Major Works Date,Max Remodelling Date,Max ReInvestment Date,Max HeldForDecant Date,Max NewProperty Date
EAST SUFFOLK,Supported Housing,1020/106288/10000014,,NR32,1RB,Flat,1,1020/1200000571,AST - Social,01/02/2021,18/08/2020,Nrsng/Res. Care,Sanc. Afford. Housing Ltd,Social Services,,,,,
DERBY,Housing for Older People,1010/103597/10000012,,DE22,4BH,Flat,2,1010/1100075303,Assured,15/02/2021,31/01/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,Other,,,,,
DERBY,Housing for Older People,1010/103597/10000028,,DE22,4BH,Flat,1,1010/1100075299,Assured,12/02/2021,13/12/2020,Tenant Died,Sanctuary Housing Assoc.,Other,,,,,
STOKE-ON-TRENT,Affordable Housing for Older People,1020/106265/10000100,,ST6,3PR,Flat,1,1020/1100003283,Assured,15/02/2021,10/09/2020,Man. Trans  Grp,Sanc. Afford. Housing Ltd,Direct Application,,,,,
STOKE-ON-TRENT,Affordable Housing for Older People,1020/106265/10000142,,ST6,3PR,Flat,1,1020/1100003275,Assured,05/02/2021,13/08/2020,Afford,Sanc. Afford. Housing Ltd,Direct Application,,,,,
WYRE FOREST,Supported Housing,1010/101305/10000001,,DY10,1PX,Flat,1,1010/1200008733,AST - Social,02/02/2021,20/12/2020,Inde living,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
WYRE FOREST,Supported Housing,1010/101305/10000002,,DY10,1PX,Room,#,1010/1600005853,Ex Lic. - Eng,25/02/2021,07/02/2021,O Supp Prov-Low,Sanctuary Housing Assoc.,Local Authority Nomination,,,,24/02/2021,
WYRE FOREST,Supported Housing,1010/101305/10000007,,DY10,1PX,Flat,1,1010/1200008747,AST - Social,16/02/2021,01/01/2021,Inde living,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
DONCASTER,Supported Housing,1010/103573/10000002,,DN7,6QB,Room,#,1010/1200008739,AST - Social,15/02/2021,06/09/2020,Tenant Died,Sanctuary Housing Assoc.,Social Services,,,,,
EAST RIDING OF YORKS,Supported Housing,1010/106203/10000015,,YO15,2DT,Room,#,1010/1600005792,Ex Lic. - Eng,06/02/2021,02/02/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Direct Application,,,,,
"KINGSTON UPON HULL,",Supported Housing,1010/100370/10000002,,HU3,1SW,Flat,3,1010/1600005797,Ex Lic. - Eng,08/02/2021,08/01/2021,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,07/02/2021,
"KINGSTON UPON HULL,",Supported Housing,1010/100370/10000004,,HU3,1SW,Flat,1,1010/1600005841,Ex Lic. - Eng,22/02/2021,07/02/2021,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,21/02/2021,
"KINGSTON UPON HULL,",Supported Housing,1010/100370/10000005,,HU3,1SW,Flat,3,1010/1600005856,Ex Lic. - Eng,26/02/2021,19/01/2021,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,25/02/2021,
"KINGSTON UPON HULL,",Supported Housing,1010/100370/10000012,,HU3,1SW,Flat,3,1010/1600005776,Ex Lic. - Eng,02/02/2021,16/12/2020,Move Fam/Friend,Sanctuary Housing Assoc.,Local Authority Nomination,,,,01/02/2021,
SCARBOROUGH,Affordable Housing for Older People,1020/106127/10000094,,YO11,3EY,Flat,2,1020/1100003273,Assured,08/02/2021,17/01/2021,Tenant Died,Sanc. Afford. Housing Ltd,Social Services,,,,,
SHEFFIELD,Housing for Older People,1010/101099/10000089,,S5,6DD,Flat,2,1010/1100075236,Assured,12/02/2021,30/12/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
BARROW-IN-FURNESS,Supported Housing,1010/105376/10000015,,LA14,2JJ,Studio apartment,#,1010/1200008743,AST - Social,15/02/2021,15/10/2020,Move Fam/Friend,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
LANCASTER,Supported Housing,1010/103105/10000011,,LA1,1LW,Room,#,1010/1600005835,Ex Lic. - Eng,22/02/2021,08/09/2020,Larger Prop,Sanctuary Housing Assoc.,Community Mental Health Team,,,,,
STOCKTON-ON-TEES,Supported Housing,1010/106584/10000000,,TS20,2AH,Flat,1,1010/1500001782,Prtctd Lic.-Eng,19/02/2021,14/02/2021,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
STOCKTON-ON-TEES,Supported Housing,1010/106584/10000003,,TS20,2AH,Flat,1,1010/1500001783,Prtctd Lic.-Eng,22/02/2021,17/02/2021,Perm Accom,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
BLACKBURN WITH DARWE,Supported Housing,1010/102269/10000003,,BB2,2LP,Flat,1,1010/1200008730,AST - Social,01/02/2021,01/11/2020,Tenant Died,Sanctuary Housing Assoc.,Community Mental Health Team,07/12/2020,,,,
KNOWSLEY,Housing for Older People,1010/106747/10000015,,L32,5AB,Flat,2,1010/1100075196,Assured,05/02/2021,11/01/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Other,,,,,
MANCHESTER,Supported Housing,1010/100244/10000027,,M11,2LY,Flat,1,1010/1500001781,Prtctd Lic.-Eng,19/02/2021,24/01/2021,Perm Accom,Sanctuary Housing Assoc.,30,,,,,
MANCHESTER,Supported Housing,1010/100623/10000004,,M12,5GF,Room,#,1010/1600005857,Ex Lic. - Eng,25/02/2021,18/02/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,Voluntary Agency,,,,,
SEFTON,Supported Housing,1010/106701/10000007,,L20,7AJ,Flat,1,1010/1600005772,Ex Lic. - Eng,02/02/2021,01/12/2020,O Supp Prov-Low,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
EAST CAMBRIDGESHIRE,Housing for Older People,1010/102119/10000041,,CB7,4FF,Flat,1,1010/1100075116,Assured,10/02/2021,13/09/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Direct Application,,,,,
EAST CAMBRIDGESHIRE,Housing for Older People,1010/104431/10000097,,CB7,5WN,Flat,2,1010/1100075114,Assured,03/02/2021,28/12/2020,Tenant Died,Sanctuary Housing Assoc.,Direct Application,,,,,
EAST CAMBRIDGESHIRE,Housing for Older People,1010/104431/10000144,,CB7,5WN,Flat,1,1010/1100075316,Assured,15/02/2021,19/01/2021,Tenant Died,Sanctuary Housing Assoc.,Direct Application,,,,,
FENLAND,Housing for Older People,1010/102130/10000104,,PE15,0WD,Flat,2,1010/1100075222,Assured,16/02/2021,10/01/2021,Nrsng/Res. Care,Sanctuary Housing Assoc.,Direct Application,,,,,
SOUTH CAMBRIDGESHIRE,Housing for Older People,1010/101691/10000079,,CB21,4AF,Flat,1,1010/1100075261,Assured,22/02/2021,10/01/2021,Closer Family,Sanctuary Housing Assoc.,Direct Application,,,,,
WEST SUFFOLK,Housing for Older People,1010/103208/10000053,,CB8,7PF,Flat,2,1010/1100075008,Assured,05/02/2021,10/11/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Direct Application,,,,,
NORTH DEVON,Supported Housing,1010/102418/10000008,,EX32,7AS,Room,#,1010/1600005827,Ex Lic. - Eng,17/02/2021,10/02/2021,Keys ret,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
NORTH DEVON,Supported Housing,1010/102418/10000011,,EX32,7AS,Room,#,1010/1600005787,Ex Lic. - Eng,04/02/2021,27/01/2021,Tenant Died,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
BRIGHTON AND HOVE,Supported Housing,1010/101485/10000009,,BN1,4UB,Flat,1,1010/1200008740,AST - Social,10/02/2021,20/12/2020,Tenant Died,Sanctuary Housing Assoc.,30,09/02/2021,,,,
BRIGHTON AND HOVE,Supported Housing,1010/103473/10000005,,BN1,4AD,House,1,1010/1200008732,AST - Social,02/02/2021,23/02/2020,Perm Accom,Sanctuary Housing Assoc.,30,01/02/2021,,,,
BRIGHTON AND HOVE,Supported Housing,1010/104338/10000016,,BN3,4GH,Room,#,1010/1600005790,Ex Lic. - Eng,05/02/2021,22/09/2020,O SuppProv-High,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
EASTBOURNE,Supported Housing,1010/104438/10000003,,BN21,4PU,Flat,1,1010/1200008759,AST - Social,25/02/2021,07/02/2021,Inde living,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
EASTBOURNE,Supported Housing,1010/104451/10000004,,BN22,7AS,Room,#,1010/1600005823,Ex Lic. - Eng,18/02/2021,13/12/2020,Inde living,Sanctuary Housing Assoc.,Local Authority Nomination,15/02/2021,,,,
EASTBOURNE,Supported Housing,1010/104451/10000009,,BN22,7AS,Room,#,1010/1600005783,Ex Lic. - Eng,03/02/2021,21/12/2020,Inde living,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
HASTINGS,Supported Housing,1010/105105/10000013,,TN34,1UH,Room,#,1010/1600005826,Ex Lic. - Eng,18/02/2021,17/12/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
ADUR,Supported Housing,1010/105014/10000009,,BN43,5UB,Flat,1,1010/1600005825,Ex Lic. - Eng,22/02/2021,15/11/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Social Services,,,,,
ARUN,Supported Housing,1010/102131/10000004,,PO21,1AG,Room,#,1010/1600005768,Ex Lic. - Eng,01/02/2021,23/10/2020,Afford,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
ARUN,Supported Housing,1010/102131/10000009,,PO21,1AG,Room,#,1010/1600005808,Ex Lic. - Eng,15/02/2021,09/09/2020,Keys ret,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
WORTHING,Supported Housing,1010/101475/10000009,,BN11,3NE,Room,#,1010/1600005815,Ex Lic. - Eng,15/02/2021,11/10/2020,Evtn: Other,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
SWINDON,Supported Housing,1010/103720/10000027,,SN1,5BZ,Room,#,1010/1600005796,Ex Lic. - Eng,08/02/2021,28/09/2020,Evtn: ASB Rsn,Sanctuary Housing Assoc.,Local Authority Nomination,02/02/2021,,,,
SWINDON,Supported Housing,1010/103720/10000032,,SN1,5BZ,Room,#,1010/1600005781,Ex Lic. - Eng,03/02/2021,10/01/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
SWINDON,Supported Housing,1010/103720/10000034,,SN1,5BZ,Room,#,1010/1600005807,Ex Lic. - Eng,10/02/2021,20/01/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
SWINDON,Supported Housing,1010/103720/10000036,,SN1,5BZ,Room,#,1010/1600005782,Ex Lic. - Eng,03/02/2021,08/01/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
SWINDON,Supported Housing,1010/103720/10000040,,SN1,5BZ,Room,#,1010/1600005770,Ex Lic. - Eng,01/02/2021,16/12/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
SWINDON,Supported Housing,1010/104553/10000004,,SN1,2EG,Room,#,1010/1600005809,Ex Lic. - Eng,10/02/2021,13/09/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Direct Application,,,,,
SWINDON,Supported Housing,1010/105630/10000000,,SN2,8BZ,Room,#,1010/1600005831,Ex Lic. - Eng,18/02/2021,08/01/2021,Evtn: Abandoned,Sanctuary Housing Assoc.,Internal Transfer,,,,,
SWINDON,Supported Housing,1010/106576/10000003,,SN1,2EG,Room,#,1010/1600005818,Ex Lic. - Eng,12/02/2021,07/02/2021,Smaller Prop,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
WILTSHIRE,Supported Housing,1010/106579/10000002,,SP1,1DX,Flat,1,1010/1600005811,Ex Lic. - Eng,11/02/2021,07/01/2021,Evtn: ASB Rsn,Sanctuary Housing Assoc.,Local Authority Nomination,25/01/2021,,,,
WILTSHIRE,Supported Housing,1010/106579/10000012,,SP1,1DX,Flat,1,1010/1600005850,Ex Lic. - Eng,25/02/2021,20/01/2021,Med/Supp Need,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
WILTSHIRE,Supported Housing,1010/106579/10000013,,SP1,1DX,Flat,1,1010/1600005832,Ex Lic. - Eng,19/02/2021,07/01/2021,Closer Family,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
