2) Rental Object Reference:,3) Rental Object Postcode:,4) Contract Number (Tenancy Reference):,5) Contract Start Date:,6) In the tenant’s view what was the main reason the household left their last settled home?:,"7) If you responded 'Other' to Q6, please state the main reason:",8) Was the reason for leaving a direct result of the removal of the spare room subsidy or benefit cap introduced from 2013?:,9) What was the housing situation for this household immediately before this letting?:,10) Enter Local Authority in which household lived immediately before this letting:,11) Postcode of the previous accommodation (leave blank if previous postcode is unknown or previous accommodation was temporary):,12) How long has the household continuously lived in the local authority area where the new letting is located?:,13) How long has the household been on the waiting list of the local authority district where the new letting is located?:,"14) Immediately prior to this letting, was this household…?:",15) Was the household given reasonable Preference for housing by the Local Authority?:,"16) Which of following reasonable preferences apply (tick any which are applicable, leave un-ticked if Q15 answered ""No"" or ""Don't Know"")?:","17) Was the letting made under any of the following allocations systems? (tick any which are applicable, leave un-ticked if none apply):","20) How many times has the unit been previously offered since becoming available for relet since the last tenancy ended or as a first let? 
For an Affordable Rent or Rent to Buy Letting, only include number of offers as that type. (For a property let at t",21) Reason for vacancy:
1010/103233/10000002,ST10 1JA,1010/1100075104,2/2/21,End of Fixed-Term Tenancy - 'no fault',,No,Living with friends or family,Derby,DE4 4LS,Just moved to the local authority area,2 years but under 3 years,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1020/106210/10000019,TR14 0ED,1020/1100003270,2/2/21,To move nearer to family/ friends/ school,,No,Supported housing,Cornwall,,5 years or more,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/106823/10000085,SS4 1UX,1010/1100075115,2/2/21,To move to accommodation with support,,Don't Know,Living with friends or family,Dartford,DA1 5dx,Just moved to the local authority area,Don't know,Not homeless,Don't Know,,Common housing register (CHR),2,Relet - tenant moved to other social housing provider
1010/103350/10000000,CW3 9JH,1010/1100075001,2/2/21,To move nearer to family/ friends/ school,,No,Lifetime Local Authority General Needs tenancy,Newcastle-under-Lyme,ST5 7BA,1 year but under 2 years,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/103893/10000023,CO4 9FA,1010/1100075108,2/2/21,Other problems with neighbours,,Don't Know,Lifetime Private Registered Provider General Needs tenancy,Colchester,CO2 9PJ,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/103720/10000040,SN1 5BZ,1010/1600005770,2/1/21,To move to accommodation with support,,No,Rough sleeping,Swindon,,4 years but under 5 years,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/105690/10000031,WS10 9AE,1010/1100075102,2/1/21,To move to accommodation with support,,Don't Know,Owner occupation (private),Sandwell,WZ10 0HS,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/101305/10000001,DY10 1PX,1010/1200008733,2/2/21,Other,Been threatened by a male in the area.,No,Any other temporary accommodation,Wyre Forest,,2 years but under 3 years,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/100370/10000012,HU3 1SW,1010/1600005776,2/2/21,Domestic abuse,,No,Living with friends or family,"Kingston upon Hull, City of",HU2 0BE,5 years or more,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,No,,,0,Relet - tenant moved to other social housing provider
1010/105228/10000002,CT21 6AJ,1010/1200008731,2/1/21,Discharged from prison or from longstay hospital or other institution,,No,Any other temporary accommodation,Folkestone and Hythe,,5 years or more,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Don't Know,Don't know,,3,Relet - tenant moved to other social housing provider
1010/103473/10000005,BN1 4AD,1010/1200008732,2/2/21,Other problems with neighbours,,No,Supported housing,Brighton and Hove,BN1 1UA,5 years or more,Don't know,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/102131/10000004,PO21 1AG,1010/1600005768,2/1/21,To move to accommodation with support,,Don't Know,Any other temporary accommodation,Arun,,3 years but under 4 years,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/103624/10000059,CT2 7TG,1010/1600005777,2/2/21,To move to accommodation with support,,No,Supported housing,Canterbury,CT2 8ED,Less than 1 year,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104451/10000009,BN22 7AS,1010/1600005783,2/3/21,To move to accommodation with support,,No,Any other temporary accommodation,Eastbourne,,5 years or more,Less than 1 year,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Yes,Homeless or about to lose their home (within 56 days),Common allocation policy (CAP),0,Relet - tenant moved to other social housing provider
1020/106418/10000003,IP3 8AW,1020/1600000915,2/3/21,Asked to leave by family or friends,,Don't Know,Living with friends or family,Ipswich,,Don't know,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Don't Know,,,0,Relet - tenant moved to other social housing provider
1020/106294/10000041,CO7 7FR,1020/1100003271,2/3/21,To move to independent accommodation,,Don't Know,Living with friends or family,Tendring,CO16 7PG,5 years or more,Don't know,Not homeless,Don't Know,,Common housing register (CHR),2,"First let of a conversion, rehabilitation or acquired property"
1010/101463/10000018,SG14 3UD,1010/1100075132,2/3/21,To move nearer to family/ friends/ school,,Don't Know,Lifetime Private Registered Provider General Needs tenancy,Barnet,N11 1HW,Just moved to the local authority area,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),5,Relet - previous tenant died (no succession)
1020/106410/10000000,IP33 3AP,1020/1500000626,2/1/21,To move to accommodation with support,,No,Living with friends or family,West Suffolk,,Don't know,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,No,,,0,Relet - tenant moved to other social housing provider
1010/102269/10000003,BB2 2LP,1010/1200008730,2/1/21,To move to accommodation with support,,No,Living with friends or family,Blackburn with Darwen,,5 years or more,5 years or more,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/106701/10000007,L20 7AJ,1010/1600005772,2/2/21,Discharged from prison or from longstay hospital or other institution,,No,Prison / Approved Probation Hostel,Liverpool,,Don't know,Don't know,Not homeless,Don't Know,,Common allocation policy (CAP),1,Relet - previous tenant moved to private sector or other accommodation
1010/104443/10000031,B33 0GE,1010/1100075124,2/3/21,Don’t Know,,Don't Know,Living with friends or family,Birmingham,B8 2RP,5 years or more,Don't know,Not homeless,Don't Know,,Common housing register (CHR),2,Relet - tenant moved to other social housing provider
1010/104020/10000040,TQ5 9NR,1010/1100075119,2/4/21,Other,Demolition of Property,No,Fixed-term Private Registered Provider General Needs tenancy,Plymouth,,Just moved to the local authority area,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/104647/10000039,SN3 6PB,1010/1100075109,2/4/21,Don’t Know,,No,Living with friends or family,Swindon,,4 years but under 5 years,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104651/10000061,TQ2 8AH,1010/1100075126,2/4/21,Under occupation - no incentive,,No,Other,Plymouth,PL5 1QZ,Just moved to the local authority area,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/103713/10000005,TQ4 5ND,1010/1100075137,2/4/21,To move to independent accommodation,,No,Rough sleeping,Exeter,,Just moved to the local authority area,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),5,Relet - tenant moved to other social housing provider
1010/106823/10000003,SS4 1QH,1010/1100075128,2/4/21,Property unsuitable because of ill health/ disability,,Don't Know,Lifetime Private Registered Provider General Needs tenancy,Rochford,SS4 3BR,5 years or more,Don't know,Not homeless,Don't Know,,Common housing register (CHR),0,Relet - tenant moved to other social housing provider
1010/106403/10000427,CH2 2LZ,1010/1100075131,2/4/21,To move nearer to family/ friends/ school,,No,Lifetime Private Registered Provider General Needs tenancy,Cheshire West and Chester,,5 years or more,5 years or more,Not homeless,No,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - previous tenant died (no succession)
1020/106444/10000005,IP11 2DZ,1020/1600000916,2/4/21,Asked to leave by family or friends,,No,Lifetime Local Authority General Needs tenancy,East Suffolk,IP12 1PJ,Less than 1 year,Less than 1 year,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,No,,,0,Relet - tenant moved to other social housing provider
1010/101039/10000011,CO2 9PJ,1010/1100075148,2/4/21,Asked to leave by family or friends,,No,Living with friends or family,Colchester,,5 years or more,1 year but under 2 years,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/102265/10000314,CB7 4EG,1010/1600005780,2/2/21,Don’t Know,,No,Rough sleeping,East Cambridgeshire,CB7 4RQ,Don't know,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - tenant moved to other social housing provider
1010/106494/10000045,CH4 8EZ,1010/1100075175,2/5/21,To move to independent accommodation,,No,Living with friends or family,Cheshire West and Chester,Ch4 8DG,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106494/10000207,CH4 8EN,1010/1100075178,2/5/21,Property unsuitable because of overcrowding,,No,Fixed-term Private Registered Provider General Needs tenancy,Cheshire West and Chester,Ch4 8NL,5 years or more,1 year but under 2 years,Not homeless,No,,Choice-based lettings (CBL),2,Relet - previous tenant moved to private sector or other accommodation
1010/106414/10000279,CH1 5RZ,1010/1100075110,2/3/21,To move to independent accommodation,,No,Private sector tenancy,Cheshire West and Chester,CH1 5NB,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106399/10000005,CH1 4AD,1010/1100075087,2/2/21,To move nearer to family/ friends/ school,,No,Private sector tenancy,Cheshire West and Chester,CH63 5JA,5 years or more,5 years or more,Not homeless,No,,Choice-based lettings (CBL),2,Relet - previous tenant moved to private sector or other accommodation
1010/106494/10000264,CH4 8NQ,1010/1100075083,2/2/21,To move to independent accommodation,,No,Living with friends or family,Cheshire West and Chester,CH4 8QU,5 years or more,2 years but under 3 years,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106409/10000027,CH1 5DS,1010/1100075180,2/5/21,Couldn't afford rent or mortgage - other,,No,Private sector tenancy,Cheshire West and Chester,,3 years but under 4 years,Less than 1 year,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/102953/10000328,E9 6SQ,1010/1100075079,2/1/21,Property unsuitable because of overcrowding,,No,Lifetime Private Registered Provider General Needs tenancy,Hackney,E9 5QF,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/103466/10000000,BN16 1AD,1010/1100075107,2/2/21,To move to independent accommodation,,No,Fixed-term Local Authority General Needs tenancy,Arun,Bn17 6lw,2 years but under 3 years,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/101021/10000007,SW16 1LW,1010/1100075133,2/3/21,Property unsuitable because of ill health/ disability,,No,Private sector tenancy,Lambeth,SW16 2AX,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/105861/10000024,RM18 8DW,1010/1100075136,2/5/21,Other problems with neighbours,,Don't Know,Fixed-term Private Registered Provider General Needs tenancy,Thurrock,RM1 8HR,3 years but under 4 years,Don't know,Not homeless,Don't Know,,Common housing register (CHR),0,Relet - tenant moved to other social housing provider
1010/105859/10000068,RG1 6JZ,1010/1100075149,2/5/21,Property unsuitable because of poor condition,,No,Private sector tenancy,Reading,RG2 0ER,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/102610/10000039,PL5 1BU,1010/1100075154,2/5/21,Other,Decant,No,Fixed-term Local Authority General Needs tenancy,Plymouth,,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104338/10000016,BN3 4GH,1010/1600005790,2/5/21,To move to accommodation with support,,No,Living with friends or family,Brighton and Hove,BN2 5JE,5 years or more,Less than 1 year,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1020/106415/10000008,IP24 1DS,1020/1600000913,2/2/21,Discharged from prison or from longstay hospital or other institution,,No,Bed and breakfast,Breckland,,5 years or more,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,Homeless or about to lose their home (within 56 days),Common housing register (CHR),0,Relet - previous tenant moved to private sector or other accommodation
1010/104596/10000034,EX39 4DZ,1010/1100075138,2/3/21,To move nearer to family/ friends/ school,,No,Lifetime Local Authority General Needs tenancy,North Devon,,Just moved to the local authority area,Less than 1 year,Not homeless,Don't Know,,Choice-based lettings (CBL),2,Relet - tenant abandoned property
1010/102766/10000017,PE13 5PW,1010/1100075176,2/5/21,Couldn't afford rent or mortgage - other,,No,Private sector tenancy,Fenland,PE13 5DE,5 years or more,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/104532/10000024,BS27 3NB,1010/1100075089,2/4/21,To move to independent accommodation,,No,Rough sleeping,Mendip,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL),1,Relet - previous tenant died (no succession)
1020/106440/10000008,IP4 1DL,1020/1600000917,2/4/21,Domestic abuse,,No,Rough sleeping,Ipswich,,5 years or more,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - previous tenant moved to private sector or other accommodation
1010/102260/10000202,CB25 0DJ,1010/1100075183,2/5/21,Asked to leave by family or friends,,No,Direct access hostel,East Cambridgeshire,,1 year but under 2 years,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104033/10000071,GU11 3DL,1010/1100075111,2/5/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,Rushmoor,GU11 3DL,5 years or more,Don't know,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104462/10000021,TF2 7AF,1010/1100075141,2/4/21,Other problems with neighbours,,No,Fixed-term Private Registered Provider General Needs tenancy,Telford and Wrekin,TF1 6NX,5 years or more,Don't know,Not homeless,Don't Know,,,1,Relet - previous tenant died (no succession)
1010/104492/10000004,HX3 5PX,1010/1100075094,2/1/21,Other,Care leaver,No,Living with friends or family,Calderdale,HX3 5NF,5 years or more,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106026/10000000,LS6 2PQ,1010/1100075174,2/5/21,Property unsuitable because of ill health/ disability,,No,Owner occupation (private),Leeds,LS11 8SQ,5 years or more,Less than 1 year,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),3,Relet - previous tenant moved to private sector or other accommodation
1010/101411/10000049,BD23 2SW,1010/1100075162,2/4/21,Property unsuitable because of overcrowding,,No,Private sector tenancy,Craven,BD20 7NY,5 years or more,Less than 1 year,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/104378/10000057,1010/104,1010/1100075100,2/3/21,Asked to leave by family or friends,,No,Living with friends or family,"Kingston upon Hull, City of",HU8 9LZ,5 years or more,Don't know,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/100663/10000025,TR11 2AF,1010/1100075134,2/5/21,Couldn't afford rent or mortgage - employment,,No,Any other temporary accommodation,Cornwall,,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/102753/10000149,CB6 1NL,1010/1100075091,2/4/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,East Cambridgeshire,CB6 1JF,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/102116/10000095,CB7 5SY,1010/1100075161,2/4/21,Property unsuitable because of overcrowding,,No,Lifetime Private Registered Provider General Needs tenancy,East Cambridgeshire,CB7 5SY,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/102753/10000389,CB6 1LB,1010/1100075191,2/5/21,Don’t Know,,Don't Know,Lifetime Private Registered Provider General Needs tenancy,East Cambridgeshire,,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/102753/10000251,CB6 1JJ,1010/1100075150,2/5/21,Don’t Know,,Don't Know,Lifetime Private Registered Provider General Needs tenancy,East Cambridgeshire,CB7 4UL,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/101688/10000068,SG6 4YN,1010/1100075182,2/5/21,Property unsuitable because of overcrowding,,Don't Know,Private sector tenancy,North Hertfordshire,SG5 1PR,4 years but under 5 years,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Don't Know,,Common housing register (CHR),2,Relet - previous tenant moved to private sector or other accommodation
1010/106203/10000015,YO15 2DT,1010/1600005792,2/6/21,(Non-violent) relationship breakdown with partner,,No,Rough sleeping,Blackpool,,Less than 1 year,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1020/106127/10000094,YO11 3EY,1020/1100003273,2/8/21,To move to accommodation with support,,Don't Know,Living with friends or family,Scarborough,YO11 3YY,Don't know,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/100539/10000005,SP1 2AR,1010/1100075129,2/4/21,Asked to leave by family or friends,,No,Living with friends or family,Wiltshire,SP2 7BP,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/100539/10000004,SP1 2AR,1010/1100075127,2/4/21,Asked to leave by family or friends,,Yes: Benefit cap,Any other temporary accommodation,Wiltshire,,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/100370/10000002,HU3 1SW,1010/1600005797,2/8/21,Asked to leave by family or friends,,No,Living with friends or family,"Kingston upon Hull, City of",,5 years or more,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,No,,,0,Relet - tenant moved to other social housing provider
1010/101811/10000011,IP33 1XX,1010/1100075199,2/8/21,Other,property too small & high rent,No,Private sector tenancy,West Suffolk,IP33 3RD,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/102144/10000003,ST18 9DF,1010/1100075177,2/8/21,To move nearer to family/ friends/ school,,No,Private sector tenancy,Stoke-on-Trent,ST4 4BQ,Just moved to the local authority area,Don't know,Not homeless,No,,,0,Relet - previous tenant died (no succession)
1010/101549/10000011,DN32 9PW,1010/1100075081,2/2/21,Other problems with neighbours,,No,Living with friends or family,North East Lincolnshire,DN32 9HY,5 years or more,Less than 1 year,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL),2,Relet - previous tenant moved to private sector or other accommodation
1010/104293/10001703,S5 0TY,1010/1100075185,2/5/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,Sheffield,S5 0HB,5 years or more,1 year but under 2 years,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106427/10000137,CH2 1QF,1010/1100075085,2/3/21,To move nearer to family/ friends/ school,,No,Sheltered accommodation,Cheshire West and Chester,CH1 5SN,5 years or more,Don't know,Not homeless,No,,Common allocation policy (CAP),3,Relet - previous tenant died (no succession)
1010/106427/10000307,CH2 1SF,1010/1100075120,2/3/21,Property unsuitable because of overcrowding,,No,Lifetime Private Registered Provider General Needs tenancy,Cheshire West and Chester,CH1 5EW,2 years but under 3 years,1 year but under 2 years,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),2,Relet - previous tenant moved to private sector or other accommodation
1010/106408/10000193,CH1 5FB,1010/1100075146,2/8/21,To move nearer to family/ friends/ school,,No,Private sector tenancy,Leeds,LS15 0QN,Just moved to the local authority area,Less than 1 year,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),1,Relet - previous tenant moved to private sector or other accommodation
1010/106427/10000135,CH2 1QF,1010/1100075164,2/8/21,Other problems with neighbours,,No,Supported housing,Cheshire West and Chester,CH1 5RW,5 years or more,Don't know,Not homeless,No,,Common allocation policy (CAP),1,Relet - previous tenant moved to private sector or other accommodation
1010/102671/10000005,SS0 9AF,1010/1600005773,2/1/21,Other,Transfer outside within SSL,No,Supported housing,Southend-on-Sea,SS1 2NF,2 years but under 3 years,2 years but under 3 years,Not homeless,Don't Know,Don't know,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/105859/10000068,RG1 6JZ,1010/1100075149,2/5/21,Property unsuitable because of poor condition,,No,Private sector tenancy,Reading,RG2 0ER,Don't know,Don't know,Not homeless,Yes,Don't know,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/103465/10000002,NG17 2AH,1010/1100075155,2/8/21,To move nearer to family/ friends/ school,,No,Fixed-term Private Registered Provider General Needs tenancy,Sutton,NG17 3ED,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/106054/10000000,s73 0XD,1010/1100075123,2/5/21,To move to independent accommodation,,No,Living with friends or family,Rotherham,s64 8HH,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/104242/10000033,PE38 9EX,1010/1100075208,2/9/21,To move to independent accommodation,,No,Direct access hostel,King's Lynn and West Norfolk,,Don't know,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,Homeless or about to lose their home (within 56 days),Common allocation policy (CAP),0,Relet - tenant abandoned property
1010/105423/10000096,TQ4 9EF,1010/1600005789,2/5/21,Other problems with neighbours,,No,Any other temporary accommodation,Torbay,,Less than 1 year,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/104431/10000097,CB7 5WN,1010/1100075114,2/3/21,Property unsuitable because of ill health/ disability,,Don't Know,Private sector tenancy,Outside UK,,Don't know,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/103208/10000053,CB8 7PF,1010/1100075008,2/5/21,To move to accommodation with support,,Don't Know,Residential care home,East Cambridgeshire,,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
